cpu_ts,timestamp,acc_x,acc_y,acc_z,timestamp,gyro_x,gyro_y,gyro_z
1608115977782,1608115977773,0.362846,-9.286898,-1.657324,1608115977780,0.000000,0.005236,0.000000
1608115977798,1608115977789,0.362846,-9.326124,-1.794617,1608115977798,0.000000,0.001745,0.000000
1608115977815,1608115977805,0.362846,-9.326124,-1.775004,1608115977813,0.000000,0.003491,0.000000
1608115977832,1608115977824,0.323619,-9.286898,-1.755390,1608115977830,-0.001745,0.001745,0.000000
1608115977848,1608115977840,0.362846,-9.208445,-1.627904,1608115977848,-0.005236,0.000000,-0.001745
1608115977865,1608115977856,0.304006,-9.286898,-1.716164,1608115977864,-0.003491,0.001745,0.000000
1608115977882,1608115977872,0.343233,-9.247671,-1.833843,1608115977880,-0.001745,0.000000,0.001745
1608115977899,1608115977892,0.382459,-9.286898,-1.716164,1608115977898,0.000000,0.001745,0.001745
1608115977916,1608115977907,0.284393,-9.345737,-1.892683,1608115977914,0.000000,0.000000,0.000000
1608115977932,1608115977923,0.264780,-9.306511,-1.814230,1608115977931,0.000000,0.005236,0.000000
1608115977949,1608115977939,0.304006,-9.306511,-1.853457,1608115977948,-0.003491,0.000000,0.000000
1608115977966,1608115977959,0.245166,-9.267284,-1.696550,1608115977964,0.000000,0.005236,0.000000
1608115977983,1608115977974,0.304006,-9.267284,-1.833843,1608115977981,0.001745,0.005236,0.001745
1608115977999,1608115977990,0.362846,-9.228058,-1.735777,1608115977998,0.000000,0.005236,0.000000
1608115978016,1608115978006,0.402073,-9.267284,-1.775004,1608115978014,-0.005236,0.000000,0.001745
1608115978033,1608115978026,0.362846,-9.228058,-1.696550,1608115978033,-0.003491,0.000000,0.000000
1608115978050,1608115978042,0.323619,-9.326124,-1.775004,1608115978048,-0.001745,0.001745,-0.001745
1608115978066,1608115978057,0.284393,-9.345737,-1.657324,1608115978065,-0.001745,0.003491,0.000000
1608115978083,1608115978073,0.402073,-9.247671,-1.549451,1608115978083,-0.001745,0.000000,0.001745
1608115978100,1608115978093,0.362846,-9.286898,-1.657324,1608115978098,-0.003491,0.001745,0.000000
1608115978117,1608115978109,0.343233,-9.326124,-1.696550,1608115978115,0.000000,0.005236,0.000000
1608115978133,1608115978125,0.323619,-9.286898,-1.716164,1608115978133,-0.001745,0.003491,0.000000
1608115978150,1608115978140,0.343233,-9.365351,-1.637710,1608115978148,0.000000,0.003491,0.000000
1608115978167,1608115978160,0.323619,-9.267284,-1.696550,1608115978165,-0.003491,0.005236,0.000000
1608115978184,1608115978176,0.343233,-9.306511,-1.676937,1608115978182,-0.001745,0.005236,0.000000
1608115978200,1608115978192,0.343233,-9.286898,-1.735777,1608115978199,-0.001745,0.008727,0.000000
1608115978217,1608115978208,0.362846,-9.326124,-1.775004,1608115978216,-0.003491,0.001745,0.000000
1608115978234,1608115978227,0.304006,-9.306511,-1.794617,1608115978233,-0.001745,0.000000,-0.001745
1608115978251,1608115978243,0.343233,-9.286898,-1.853457,1608115978249,-0.003491,0.003491,-0.003491
1608115978267,1608115978259,0.323619,-9.228058,-1.755390,1608115978267,0.000000,0.000000,0.003491
1608115978284,1608115978275,0.343233,-9.228058,-1.794617,1608115978283,0.000000,0.003491,0.000000
1608115978304,1608115978295,0.323619,-9.286898,-1.814230,1608115978303,0.000000,0.001745,-0.003491
1608115978321,1608115978314,0.343233,-9.188830,-1.814230,1608115978320,-0.005236,0.005236,-0.001745
1608115978338,1608115978330,0.362846,-9.247671,-1.775004,1608115978337,-0.003491,0.000000,0.000000
1608115978355,1608115978346,0.362846,-9.247671,-1.931910,1608115978353,-0.001745,0.003491,0.000000
1608115978372,1608115978366,0.323619,-9.286898,-1.853457,1608115978371,-0.001745,0.003491,0.000000
1608115978388,1608115978381,0.304006,-9.247671,-1.833843,1608115978388,0.000000,0.003491,0.000000
1608115978405,1608115978397,0.343233,-9.306511,-1.814230,1608115978404,-0.001745,0.000000,-0.001745
1608115978422,1608115978413,0.323619,-9.326124,-1.814230,1608115978422,0.000000,0.003491,0.001745
1608115978439,1608115978433,0.323619,-9.267284,-1.735777,1608115978438,-0.001745,0.000000,0.000000
1608115978456,1608115978449,0.362846,-9.286898,-1.735777,1608115978455,-0.001745,0.001745,-0.001745
1608115978473,1608115978464,0.323619,-9.306511,-1.755390,1608115978472,-0.001745,0.003491,-0.001745
1608115978489,1608115978480,0.362846,-9.306511,-1.775004,1608115978488,0.000000,0.000000,0.000000
1608115978506,1608115978500,0.323619,-9.384964,-1.775004,1608115978505,0.000000,0.000000,0.000000
1608115978523,1608115978516,0.304006,-9.306511,-1.735777,1608115978523,-0.001745,0.000000,-0.001745
1608115978540,1608115978532,0.304006,-9.286898,-1.657324,1608115978538,-0.003491,0.003491,0.000000
1608115978557,1608115978547,0.362846,-9.306511,-1.775004,1608115978555,0.000000,0.003491,-0.003491
1608115978574,1608115978567,0.343233,-9.267284,-1.775004,1608115978572,-0.001745,0.003491,0.000000
1608115978590,1608115978583,0.323619,-9.345737,-1.735777,1608115978589,-0.001745,0.003491,0.000000
1608115978607,1608115978599,0.362846,-9.228058,-1.608291,1608115978607,0.000000,0.001745,-0.003491
1608115978624,1608115978615,0.343233,-9.345737,-1.775004,1608115978623,-0.001745,0.000000,0.000000
1608115978641,1608115978634,0.323619,-9.267284,-1.676937,1608115978639,-0.003491,0.003491,0.000000
1608115978657,1608115978650,0.343233,-9.345737,-1.735777,1608115978656,0.000000,0.005236,0.000000
1608115978674,1608115978666,0.362846,-9.228058,-1.814230,1608115978673,-0.003491,0.001745,0.000000
1608115978691,1608115978682,0.343233,-9.286898,-1.794617,1608115978690,0.000000,0.000000,0.000000
1608115978708,1608115978702,0.323619,-9.326124,-1.775004,1608115978707,0.000000,0.003491,0.000000
1608115978725,1608115978717,0.323619,-9.286898,-1.814230,1608115978723,-0.001745,0.003491,0.001745
1608115978741,1608115978733,0.304006,-9.326124,-1.676937,1608115978740,0.000000,0.005236,0.000000
1608115978758,1608115978753,0.343233,-9.326124,-1.794617,1608115978757,0.000000,0.001745,0.000000
1608115978775,1608115978769,0.343233,-9.326124,-1.716164,1608115978773,0.000000,0.000000,0.000000
1608115978792,1608115978785,0.343233,-9.228058,-1.794617,1608115978791,0.001745,0.003491,0.000000
1608115978825,1608115978820,0.323619,-9.208445,-1.696550,1608115978824,-0.003491,0.005236,-0.001745
1608115978842,1608115978824,0.362846,-9.306511,-1.833843,1608115978826,0.000000,0.003491,0.000000
