acq_time,save_time,stat_time,cycle_time,sleep_time,slow_cycles_cnt
3.108604,7.809942,0.000102,10.918648,5.678381,11
3.095864,7.917524,0.000135,11.013523,5.748019,11
3.128320,7.911836,0.000176,11.040332,5.653144,11
3.092239,7.898166,0.000113,10.990518,5.626335,11
3.136889,7.840244,0.000132,10.977265,5.676149,11
3.091272,8.144303,0.000168,11.235743,5.689402,11
3.093960,3.059909,0.000078,6.153947,5.430924,11
3.096146,7.914061,0.000095,11.010302,10.512720,11
3.112844,7.757173,0.000049,10.870066,5.656365,11
3.092604,7.941791,0.000106,11.034501,5.796601,11
3.102793,11.634326,0.000043,14.737162,5.632166,11
3.104228,7.835118,0.000042,10.939388,1.929505,11
3.104839,8.224087,0.000107,11.329033,5.727279,11
3.095694,7.915223,0.000112,11.011029,5.337634,11
3.133391,7.792082,0.000070,10.925543,5.655638,11
3.104341,7.812036,0.000119,10.916496,5.741124,11
3.119258,7.864633,0.000246,10.984137,5.750171,11
3.089489,7.775751,0.000122,10.865362,5.682530,11
3.100210,7.829275,0.000047,10.929532,5.801305,11
3.089997,8.012831,0.000046,11.102874,5.737135,11
3.103236,9.077745,0.000096,12.181077,5.563793,11
3.102249,7.895941,0.000055,10.998245,4.485590,11
3.121200,7.774317,0.000046,10.895563,5.668422,11
3.116058,8.283814,0.000046,11.399918,5.771104,11
3.114214,7.790700,0.000047,10.904961,5.266749,11
3.103851,7.905973,0.000126,11.009950,5.761706,11
3.115281,7.868823,0.000048,10.984152,5.656717,11
3.093467,7.797652,0.000046,10.891165,5.682515,11
3.089007,7.768206,0.000095,10.857308,5.775502,11
3.156030,7.982898,0.000113,11.139041,5.809359,11
3.097296,7.932818,0.000094,11.030208,5.527626,11
3.094707,7.793179,0.000048,10.887934,5.636459,11
3.170192,7.921090,0.000096,11.091378,5.778733,11
3.105732,8.364046,0.000190,11.469968,5.575289,11
3.106303,8.840010,0.000106,11.946419,5.196699,11
3.095354,9.208283,0.000140,12.303777,4.720248,11
3.085362,7.957195,0.000172,11.042729,4.362890,11
3.096974,8.172939,9.681487,20.951400,5.623938,11
3.128613,8.002229,0.000137,11.130979,-4.284733,12
3.140280,8.374034,0.000124,11.514438,5.535688,12
3.098741,12.778300,0.000127,15.877168,5.152229,12
3.090430,9.053173,0.000044,12.143647,0.789499,12
3.128847,8.525264,0.000099,11.654210,4.523020,12
3.117157,7.799285,0.000105,10.916547,5.012457,12
3.133019,11.910142,0.000107,15.043268,5.750120,12
3.121537,12.713076,0.000141,15.834754,1.623399,12
3.079155,12.272979,0.000118,15.352252,0.831913,12
3.081328,13.479464,0.000216,16.561008,1.314415,12
3.081027,8.145468,0.000138,11.226633,0.105659,12
3.085322,8.931721,0.000152,12.017195,5.440034,12
3.115421,8.080524,0.000191,11.196136,4.649472,12
3.125166,7.737126,0.000124,10.862416,5.470531,12
3.131851,7.977474,0.000175,11.109500,5.804251,12
3.123653,8.383817,0.000156,11.507626,5.557167,12
3.159546,8.305573,0.000118,11.465237,5.159041,12
3.156245,8.410518,0.000121,11.566884,5.201430,12
3.143176,8.393901,0.000679,11.537756,5.099783,12
3.091347,8.508088,0.000112,11.599547,5.128911,12
3.181273,9.399691,0.000135,12.581099,5.067120,12
3.109471,8.211692,0.000123,11.321286,4.085568,12
3.087985,8.394102,0.000174,11.482261,5.345381,12
3.097259,8.139846,0.000376,11.237481,5.184406,12
3.092617,8.719633,0.000120,11.812370,5.429186,12
3.136628,8.866497,0.000172,12.003297,4.854297,12
3.112026,8.671512,0.000119,11.783657,4.663370,12
3.081068,8.711071,0.000111,11.792250,4.883010,12
